text,intent
Please My catheter is causing severe pain please help,emergency
I think I am having a heart attack,emergency
Excuse me Has the room change been arranged thank you so much.,status_query
Is my discharge process started,status_query
I want to upload my pathology report to the system,document_submission
Can you hear me? What happened to my nurse request from before is that possible?,status_query
I need fresh towels please,utility_request
Can I know when the discharge formalities will be done,status_query
I need socks my feet are cold,nurse_request
Has my request for a different room been approved kindly help.,status_query
can you hear me? the toilet is blocked pleae send someone i would really appreciate it.,utility_request
What day is today,general_conversation
Thank you CareMate you are very helpful,general_conversation
I need to see a physician,doctor_query
My tray came but the food was wrong,nutrition_request
Did the nurse get my message,status_query
I want some warm milk please,nutrition_request
Thanks for arranging the wheelchair so fast,general_conversation
Actually Seene mein bahut dard ho raha hai is that possible?,emergency
My back hurts can someone fix the bed angle,nurse_request
Please tell the doctor I need to talk to him,doctor_query
Can someone come and collect my admission documents,document_submission
Is CareMate always available at night too,general_conversation
Just wanted to say Please scan my allergy report and add to records this is urgent.,document_submission
I have the TPA form filled out please collect it,document_submission
Hello I need nursing assistance is that possible?,nurse_request
Is my scan report ready kindly help.,status_query
Excuse me I am in excruciating pain please help is that possible?,emergency
Please I need to sign the consent form for surgery please.,document_submission
Can you hear me? The room is very comfortable thank you is that possible?,general_conversation
Um I have my MRI CD can you add it to my file can you help?,document_submission
I need nursing assistance,nurse_request
I am vegetarian please do not send non-veg food,nutrition_request
Hello I feel the current treatment is not helping please tell doctor at the earliest please.,doctor_query
Um I feel very cold and shivering doctor said to report this thank you so much.,doctor_query
Hi When will the doctor visit me today is that possible?,doctor_query
I have some pain can a nurse check on me,nurse_request
excuse me i need an extension cord for my phone plz.,utility_request
Please Can the nurse please come and check on me is that possible?,nurse_request
can you hear me? i finished my food can i get more pls,nutrition_request
Can I get the soft diet option please kindly help.,nutrition_request
They forgot to give me dinner please send now,nutrition_request
Good night I will sleep now,general_conversation
That is all I needed thanks,general_conversation
Emergency emergency please someone help me,emergency
I am having a reaction to the medicine,emergency
Excuse me My family brought home food can I eat it thank you so much.,nutrition_request
I had the test this morning and I have questions,doctor_query
The doctor explained everything so well,general_conversation
Please Has the doctor seen my report yet I would really appreciate it.,status_query
I want to speak to my doctor,doctor_query
Hi I did not get my prescribed diet please resend kindly help.,nutrition_request
I feel very cold and shivering doctor said to report this,doctor_query
I have the guarantee letter from my employer please collect,document_submission
I am allergic to one of the tablets please tell doctor,doctor_query
My husband is coming can you let him in,general_conversation
Is my scan report ready,status_query
Do you understand Hindi too,general_conversation
Shukriya bahut achha service hai,general_conversation
Very good hospital I will recommend to others,general_conversation
When will my blanket arrive,status_query
I did not get my afternoon snack,nutrition_request
Just wanted to say I need some cotton please,utility_request
Can you hear me? Please check my pulse it feels weird this is urgent.,nurse_request
I have swelling in my legs please send the doctor,doctor_query
Hello Ek aur kambal chahiye please can you help?,utility_request
Just wanted to say Is my bill ready can you help?,status_query
I am in excruciating pain please help,emergency
I just fell in the bathroom,emergency
I am bleeding and cannot stop it,emergency
excuse me i had a good sleep last night plz.,general_conversation
Um I need a straw to drink water kindly help.,utility_request
Just wanted to say I am not sure if this is normal after surgery please.,doctor_query
Just wanted to say Can someone update my address in the system.,document_submission
Can I know when the nurse will come,status_query
Has my request for a different room been approved,status_query
My wound dressing is loose please fix,nurse_request
Um I need to scan this document please please.,document_submission
Can you hear me? Can someone bring the wheelchair for my x-ray appointment.,utility_request
Please check my pulse it feels weird,nurse_request
What time will the scan be done,status_query
Where do I sign the consent documents,document_submission
There is no hot water in the bathroom,utility_request
The meal was cold this morning just wanted to let you know,general_conversation
Please Can you ask the doctor if I can start eating normally please.,doctor_query
Can I get my discharge summary please,document_submission
I just wanted to mention the wait time was a bit long,general_conversation
My family member needs to sign the consent can you bring the form,document_submission
When is my next doctor round,status_query
I need help with my walker to go to the window,nurse_request
Doctor varaliya enna aachi,doctor_query
I am just checking in to say I am fine,general_conversation
I would like a second opinion on my condition,doctor_query
How does this system work exactly,general_conversation
hello pls ask the surgeon to come and check my wound please.,doctor_query
Hello Please come quickly I need assistance thank you so much.,nurse_request
Are you a robot or a human,general_conversation
Can you hear me? My stitches feel like they might be opening please call doctor is that possible?,doctor_query
My gown is wet can nurse help change,nurse_request
I need my blood pressure checked please,nurse_request
Can someone help me use the restroom,nurse_request
Can you hear me? I need a copy of my medical records kindly help.,document_submission
just wanted to say when is visiting hour plz is that possible?,general_conversation
My body is shaking uncontrollably,emergency
Can someone bring the wheelchair for my x-ray appointment,utility_request
Can you hear me? Can I get electrolyte drink please thank you.,nutrition_request
I have a stack of old reports to submit,document_submission
Um Good afternoon thank you.,general_conversation
Can you hear me? There are ants in my room please help please.,utility_request
When is the dietitian coming,status_query
Namaste,general_conversation
Nurse anne please come here,nurse_request
Um I have a concern about the medicine dosage.,doctor_query
My reading light is not working can someone fix,utility_request
um can you check if my request is being processed plz.,status_query
Can you hear me? I feel like vomiting but need food what can I eat this is urgent.,nutrition_request
Actually I have handwritten notes from my doctor please scan please.,document_submission
I need my prescription copy for pharmacy,document_submission
Am I scheduled for any tests today,status_query
Hello I feel very cold and shivering doctor said to report this please.,doctor_query
Please call the nurse I need some help,nurse_request
Hi The team has been wonderful thank you I would really appreciate it.,general_conversation
can you hear me? i need a urine bottle pleae thank you so much.,utility_request
I do not have much appetite but I should eat something small,nutrition_request
Can I get something easy to digest,nutrition_request
There are ants in my room please help,utility_request
Can you hear me? What time will the scan be done.,status_query
I had a dream and woke up startled,general_conversation
Excuse me Can I get my discharge summary please,document_submission
Hi I would like a second opinion on my condition please.,doctor_query
I am very scared something is very wrong,emergency
Sudden numbness in my face and arm,emergency
Excuse me Please bring the form for blood transfusion consent kindly help.,document_submission
Can you send the nursing staff please,nurse_request
Just wanted to say I was given non-veg but I am vegetarian please change is that possible?,nutrition_request
What time is dinner being served,nutrition_request
Hi The room is too hot can you adjust the AC is that possible?,utility_request
My locker key is stuck can someone help,utility_request
Please Can I ask the doctor about my test results please.,doctor_query
Can you hear me? I need to fill the admission consent form I would really appreciate it.,document_submission
Blanket kudungal kulir aagudhu,utility_request
Hello My gown is wet can nurse help change can you help?,nurse_request
I am stuck in this position can nurse help,nurse_request
Just wanted to say Can someone help me with oral care kindly help.,nurse_request
Just wanted to say I think the baby is coming please help can you help?,emergency
Hello I need help adjusting my bed position please.,nurse_request
My phone battery is dead can I get a charger,utility_request
Hello CareMate,general_conversation
hi pleae prepare my medical certificate i need it urgently is that possible?,document_submission
My IV is beeping can nurse come,nurse_request
What time is my procedure tomorrow,status_query
Hello What time is my procedure tomorrow is that possible?,status_query
Um I have a stack of old reports to submit kindly help.,document_submission
Has the utility team received my request is that possible?,status_query
I need help washing my face,nurse_request
Can the doctor review my pain medication,doctor_query
I need a straw to drink water,utility_request
I need a bag to put my personal items,utility_request
Please hurry this is very urgent,emergency
Excuse me Is my doctor query still pending this is urgent.,status_query
Please When will I be discharged please ask the doctor I would really appreciate it.,doctor_query
Is the nurse coming soon I have been waiting,status_query
Hello Post operation pain is very high please inform doctor can you help?,doctor_query
Just wanted to say Any update from the doctor on my condition is that possible?,status_query
I cannot see clearly everything is blurry suddenly,emergency
Hello Can I have idli or dosa for breakfast I would really appreciate it.,nutrition_request
Excuse me I submitted a request earlier has anyone seen it thank you so much.,status_query
Can the nurse check my IV drip,nurse_request
Please I feel like vomiting but need food what can I eat this is urgent.,nutrition_request
I am just checking in to say I am fine at the earliest please.,general_conversation
Can you please send a nurse to my room,nurse_request
Thank you so much for your help can you help?,general_conversation
The room is very cold can I get a warm blanket,utility_request
Excuse me When will my blanket arrive,status_query
Can you hear me? Very good hospital I will recommend to others kindly help.,general_conversation
Has my request been received,status_query
Um I want to talk to a nurse.,nurse_request
I am nervous about the surgery,general_conversation
pls i made a request an hour ago is it done i would really appreciate it.,status_query
Please digitize these old reports,document_submission
I am not sure if this is normal after surgery,doctor_query
Please My chest is very tight I can't breathe please.,emergency
Actually There are ants in my room please help can you help?,utility_request
I cannot eat heavy food can I get something light,nutrition_request
My room needs cleaning please,utility_request
Can I have an extra pillow,utility_request
Can someone help me with my hearing aid,nurse_request
I have my ID proof for the records,document_submission
I am bleeding badly please come,emergency
Can you hear me? Bahut dard hai please koi aao please.,emergency
Can I speak to the doctor on duty,doctor_query
My family wants to know the prognosis please ask,doctor_query
Has insurance approval come for my treatment,status_query
Can the cardiologist be called please is that possible?,doctor_query
Actually Thank you CareMate you are very helpful.,general_conversation
Hey good night,general_conversation
Can someone turn on the fan please,utility_request
Please lower my bed a little,nurse_request
The drip needle fell out and blood is coming,emergency
I need a copy of my medical records,document_submission
This is my first time in a hospital,general_conversation
I am feeling very weak because I have not eaten,nutrition_request
Can I get a snack please,nutrition_request
Please I am diabetic please make sure the food is appropriate can you help?,nutrition_request
I am very grateful for the support,general_conversation
I need to use the toilet please help me walk,nurse_request
Um Can someone empty the dustbin in my room is that possible?,utility_request
I cut myself and it won't stop bleeding,emergency
Just wanted to say Can I have a footstool please at the earliest please.,utility_request
Can I have porridge it is easier to eat,nutrition_request
Excuse me There is some discharge from the wound thank you.,doctor_query
I am very hungry can I get something to eat,nutrition_request
When will I be discharged,status_query
Please add this diagnosis report to my electronic file,document_submission
Um I need the curtain closed please can you help?,nurse_request
Bachao bachao hospital mein koi hai,emergency
I am feeling very dizzy I might fall,emergency
Excuse me Can I get extra serving I am still hungry,nutrition_request
excuse me when will i get my test results at the earliest pleae.,status_query
can you hear me? my room needs cleaning plz kindly help.,utility_request
I need help changing my sleeping position,nurse_request
Severe bleeding from my stomach area,emergency
Can someone help me with oral care,nurse_request
Is the ambulance arranged for my discharge can you help?,status_query
I have the consent form filled out please take it,document_submission
I am being discharged and I just wanted to thank everyone,general_conversation
Can someone fix the TV please,utility_request
Hello Please tell the doctor I need to talk to him thank you so much.,doctor_query
I cannot eat hard food after surgery please send soft food,nutrition_request
When is my surgery scheduled,status_query
Hello Can you check if my MRI report is ready thank you so much.,status_query
Hives all over and throat tightening,emergency
I cannot move my left arm or leg,emergency
Just wanted to say I am very grateful for the support kindly help.,general_conversation
Is my physiotherapy session today,status_query
Can I go home today doctor please tell me,doctor_query
Excuse me I did not get my afternoon snack I would really appreciate it.,nutrition_request
Just wanted to say I have a concern about the medicine dosage this is urgent.,doctor_query
The food was very good today thank you,general_conversation
I feel much better after the treatment today,general_conversation
Extreme pain I need help right now,emergency
excuse me can i have idli or dosa for breakfast can you hlep?,nutrition_request
just wanted to say pls ask the surgeon to come and check my wound i would really appreciate it.,doctor_query
Excuse me What time is dinner being served thank you.,nutrition_request
I think I have a fever can nurse check,nurse_request
Doctor said I can eat now can you send food,nutrition_request
Can you hear me? Can I get a wheelchair please please.,utility_request
Excuse me I feel like vomiting but need food what can I eat kindly help.,nutrition_request
Hi I would like a second opinion on my condition this is urgent.,doctor_query
I need to speak to the psychiatrist please,doctor_query
Is there any new information about my treatment,status_query
Hi Doctor se milna hai mujhe please.,doctor_query
I am gasping for air please come at the earliest please.,emergency
Please Can I take this medicine with food or not thank you so much.,doctor_query
Can you hear me? Nothing urgent just saying hi.,general_conversation
Can someone bring me a pen and paper,utility_request
Can the night nurse please check on me,nurse_request
Um I have handwritten notes from my doctor please scan.,document_submission
Please I need a straw to drink water at the earliest please.,utility_request
I want to request a specific meal for tomorrow,nutrition_request
The monitor alarm is beeping loudly please come,emergency
Can I get extra serving I am still hungry,nutrition_request
Actually When is my x-ray result expected is that possible?,status_query
I fell and I think I hurt my head,emergency
Excuse me Can someone take my health insurance documents kindly help.,document_submission
My wound looks a bit red can doctor come check,doctor_query
Can someone mop the floor there is water,utility_request
Actually My name is spelled wrong in the records please correct this is urgent.,document_submission
Never mind I figured it out myself,general_conversation
Can someone change my pillow cover,utility_request
Um When will I be discharged kindly help.,status_query
My bedsheet needs to be changed,utility_request
I need the curtain closed please,nurse_request
Hi Can the doctor explain my diagnosis to me thank you so much.,doctor_query
Please get me some light food,nutrition_request
I am feeling much better today,general_conversation
Hi My food has not arrived yet it is very late thank you so much.,nutrition_request
Can someone take my health insurance documents,document_submission
I am Muslim can I have halal food only please,nutrition_request
The room cleaning could be more frequent,general_conversation
Please I have not eaten since morning can I get food at the earliest please.,nutrition_request
Can I have my lunch please,nutrition_request
Can the nurse please come and check on me,nurse_request
I think my condition is getting worse,doctor_query
Has the room change been arranged,status_query
Thanks for everything,general_conversation
I cannot take this pain anymore,emergency
Can the admin person come to collect my documents,document_submission
Hi can you hear me,general_conversation
Can you hear me? When will I be discharged please ask the doctor can you help?,doctor_query
Can someone check on my roommate they look unwell,nurse_request
Has the doctor signed my discharge papers,status_query
I want to sign the do not resuscitate form please,document_submission
Just wanted to say I want to say goodbye I am going home today,general_conversation
I have questions for my doctor,doctor_query
Can I get a cup or glass please,utility_request
I have my ECG report from yesterday I would really appreciate it.,document_submission
I cannot have sugar please check my diet,nutrition_request
The wifi is not working in my room,utility_request
actually my family wants to know the prognosis pls ask this is urgent.,doctor_query
I pressed the button by mistake sorry,general_conversation
Actually Doctor told me to let them know if I have fever after surgery kindly help.,doctor_query
The pain is so severe I cannot handle it,emergency
I felt a little ignored earlier but it is okay now,general_conversation
Just wanted to say I have some pain can a nurse check on me.,nurse_request
There is an error in my admission form please fix,document_submission
Worst pain I have ever felt in my life,emergency
Excuse me Please check my pulse it feels weird this is urgent.,nurse_request
Can the cardiologist be called please,doctor_query
I almost fell out of the bed,emergency
Hi The food trolley did not come to my room I would really appreciate it.,nutrition_request
Can you hear me? Thanks for arranging the wheelchair so fast,general_conversation
Can I know the estimate of my bill so far at the earliest please.,status_query
I need emergency help right now,emergency
Please help me sit up in the bed,nurse_request
Can you hear me? Please digitize these old reports this is urgent.,document_submission
Please come quickly I need assistance,nurse_request
Has the doctor seen my report yet,status_query
Can you hear me? I did not get my afternoon snack.,nutrition_request
Just wanted to say Can someone give me an update on what is next please.,status_query
I need to submit my lab test authorization form from the clinic.,document_submission
Can someone help me fill out the hospital consent form?,document_submission
My allergy list needs to be updated in the patient file.,document_submission
Please add my vaccination records to my file.,document_submission
I have my specialist referral letter please add it to my records.,document_submission
Can you scan and upload my prescription from the previous hospital?,document_submission
I need to hand over my advance directive documents to the ward.,document_submission
Please update my emergency contact details in the system.,document_submission
I need help turning over in bed my back is hurting.,nurse_request
Please can someone help me put on my compression stockings.,nurse_request
Can the nurse check my oxygen levels please.,nurse_request
I need assistance getting to the bathroom safely.,nurse_request
Please can someone change my wound dressing it is soaked through.,nurse_request
Can you tell me when I will be moved to a private room?,status_query
Has my blood test result come back yet?,status_query
When is my next ECG scheduled?,status_query
Is the specialist still coming to see me today?,status_query
Can you check if my discharge paperwork is ready?,status_query
What time will the occupational therapist visit me?,status_query
Can I get an extra pillow for my back please.,utility_request
The call button light above my bed is not working.,utility_request
Can someone bring me a spare blanket it is chilly.,utility_request
I need a bedpan as I cannot walk to the toilet.,utility_request
Can you adjust the height of my bed please.,utility_request
Can I ask how long this ward has been open?,general_conversation
This is my first time in hospital I am feeling a bit nervous.,general_conversation
I cannot stop shaking and I feel very cold.,emergency
My vision has gone blurry all of a sudden please help.,emergency
I just fell out of bed please send someone quickly.,emergency
I cannot move my left arm suddenly please help.,emergency
I am having a severe allergic reaction my throat feels tight.,emergency
I am losing consciousness please help me.,emergency
Can the doctor explain why I need this new medication?,doctor_query
I want to ask the doctor about alternative treatments.,doctor_query
Can someone tell the doctor I have had a reaction to the antibiotic?,doctor_query
I want a second opinion about my diagnosis can you arrange that?,doctor_query
Please ask the doctor if I can eat normally before the procedure.,doctor_query
I need the doctor to review my pain management plan.,doctor_query
Can the doctor clarify the risks of the surgery I need?,doctor_query
Has the consultant seen my latest scan results?,doctor_query
I am vegetarian please make sure my meals do not have meat.,nutrition_request
Can I get a hot drink with my next meal please.,nutrition_request
I need a low sodium diet can you update my meal plan?,nutrition_request
Can I get more protein in my meals to help my recovery?,nutrition_request
